Normal,Foil,Name,Set,Card Number,Color,Rarity,Price,Foil Price
8,1,Cheshire Cat - Not All There,001,71,Emerald,Uncommon,"€0.17","€1.57"
2,3,Cruella De Vil - Miserable as Usual,001,72,Emerald,Rare,"€0.17","€0.33"
9,0,Duke of Weselton - Opportunistic Official,001,73,Emerald,Common,"€0.05","€0.17"
7,3,Flynn Rider - Charming Rogue,001,74,Emerald,Uncommon,"€0.29","€2.00"
8,1,Genie - On the Job,001,75,Emerald,Super Rare,"€1.33","€2.54"
5,0,Genie - Powers Unleashed,001,76,Emerald,Rare,"€0.39","€2.55"
8,1,Genie - The Ever Impressive,001,77,Emerald,Common,"€0.09","€0.20"
4,2,Hans - Scheming Prince,001,78,Emerald,Rare,"€0.39","€2.03"
10,0,Horace - No-Good Scoundrel,001,79,Emerald,Common,"€0.07","€0.20"
5,0,Iago - Loud-Mouthed Parrot,001,80,Emerald,Rare,"€0.17","€0.58"
10,1,Jasper - Common Crook,001,81,Emerald,Uncommon,"€0.09","€0.23"
2,0,John Silver - Alien Pirate,001,82,Emerald,Legendary,"€5.45","€30.06"
7,0,Jumba Jookiba - Renegade Scientist,001,83,Emerald,Uncommon,"€0.09","€0.32"
5,1,Kuzco - Temperamental Emperor,001,84,Emerald,Rare,"€0.85","€4.57"
6,0,Lady Tremaine - Wicked Stepmother,001,85,Emerald,Rare,"€0.29","€1.66"
9,1,Mad Hatter - Gracious Host,001,86,Emerald,Uncommon,"€0.09","€0.33"
9,0,Megara - Pulling the Strings,001,87,Emerald,Common,"€0.05","€0.17"
4,0,Mickey Mouse - Artful Rogue,001,88,Emerald,Super Rare,"€0.44","€1.79"
10,0,Mickey Mouse - Steamboat Pilot,001,89,Emerald,Common,"€0.07","€0.33"
4,1,Mother Gothel - Selfish Manipulator,001,90,Emerald,Super Rare,"€0.73","€1.20"
8,1,Peter Pan - Never Landing,001,91,Emerald,Common,"€0.07","€0.17"
8,0,Tamatoa - Drab Little Crab,001,92,Emerald,Uncommon,"€0.05","€0.18"
8,3,Tinker Bell - Most Helpful,001,93,Emerald,Common,"€0.09","€0.27"
5,0,Do It Again!,001,94,Emerald,Rare,"€0.29","€0.61"
8,1,Mother Knows Best,001,95,Emerald,Uncommon,"€0.12","€0.48"
9,2,Stampede,001,96,Emerald,Common,"€0.05","€0.17"
7,1,Steal from the Rich,001,97,Emerald,Rare,"€0.13","€0.73"
8,1,Sudden Chill,001,98,Emerald,Common,"€0.09","€0.20"
7,0,The Beast is Mine!,001,99,Emerald,Uncommon,"€0.09","€0.23"
9,1,Vicious Betrayal,001,100,Emerald,Common,"€0.05","€0.17"
9,0,Dr. Facilier's Cards,001,101,Emerald,Uncommon,"€0.09","€0.52"
8,1,Stolen Scimitar,001,102,Emerald,Common,"€0.05","€0.17"
10,0,Abu - Mischievous Monkey,001,103,Ruby,Common,"€0.05","€0.17"
5,1,Aladdin - Heroic Outlaw,001,104,Ruby,Super Rare,"€0.71","€0.73"
8,2,Aladdin - Street Rat,001,105,Ruby,Common,"€0.05","€0.17"
7,1,Captain - Colonel's Lieutenant,001,106,Ruby,Uncommon,"€0.05","€0.21"
5,1,Captain Hook - Ruthless Pirate,001,107,Ruby,Rare,"€0.22","€1.19"
8,2,Donald Duck - Boisterous Fowl,001,108,Ruby,Uncommon,"€0.05","€0.32"
8,1,Elsa - Ice Surfer,001,109,Ruby,Common,"€0.07","€0.20"
8,1,Gaston - Arrogant Hunter,001,110,Ruby,Common,"€0.05","€0.18"
8,1,Goofy - Daredevil,001,111,Ruby,Common,"€0.09","€0.20"
5,0,LeFou - Instigator,001,112,Ruby,Rare,"€0.75","€1.76"
1,0,Maleficent - Monstrous Dragon,001,113,Ruby,Legendary,"€25.71","€57.55"
5,1,Maui - Hero to All,001,114,Ruby,Rare,"€5.36","€11.87"
7,0,Mickey Mouse - Brave Little Tailor,001,115,Ruby,Legendary,"€7.51","€40.42"
10,1,Minnie Mouse - Always Classy,001,116,Ruby,Common,"€0.10","€0.27"
9,0,Moana - Chosen by the Ocean,001,117,Ruby,Uncommon,"€0.09","€0.23"
4,2,Mulan - Imperial Soldier,001,118,Ruby,Super Rare,"€0.37","€0.85"
7,2,Peter Pan - Fearless Fighter,001,119,Ruby,Common,"€0.07","€0.17"
9,0,Pongo - Ol' Rascal,001,120,Ruby,Common,"€0.07","€0.17"
8,1,Rapunzel - Letting Down Her Hair,001,121,Ruby,Uncommon,"€0.05","€0.64"
9,1,Scar - Fiery Usurper,001,122,Ruby,Common,"€0.07","€0.17"
3,1,Scar - Shameless Firebrand,001,123,Ruby,Rare,"€0.21","€2.10"
8,5,Sergeant Tibbs - Courageous Cat,001,124,Ruby,Common,"€0.05","€0.19"
6,1,Stitch - Abomination,001,125,Ruby,Rare,"€0.17","€0.83"
3,0,Te Kā - The Burning One,001,126,Ruby,Super Rare,"€0.37","€1.94"
7,1,Tigger - Wonderful Thing,001,127,Ruby,Uncommon,"€0.09","€0.83"
6,1,Be Prepared,001,128,Ruby,Rare,"€6.31","€11.95"
8,0,Cut to the Chase,001,129,Ruby,Uncommon,"€0.09","€0.17"
11,0,Dragon Fire,001,130,Ruby,Uncommon,"€0.17","€1.21"
7,1,Fan the Flames,001,131,Ruby,Uncommon,"€0.10","€0.32"
8,1,He's Got a Sword!,001,132,Ruby,Common,"€0.05","€0.17"
9,4,Tangle,001,133,Ruby,Common,"€0.07","€0.27"
6,0,Poisoned Apple,001,134,Ruby,Rare,"€0.32","€1.20"
6,0,Shield of Virtue,001,135,Ruby,Uncommon,"€0.09","€0.48"
4,1,Sword of Truth,001,136,Ruby,Rare,"€0.17","€0.91"
5,0,Ariel - Whoseit Collector,001,137,Sapphire,Rare,"€0.67","€3.96"
8,2,Aurora - Briar Rose,001,138,Sapphire,Common,"€0.05","€0.25"
4,1,Aurora - Dreaming Guardian,001,139,Sapphire,Super Rare,"€0.33","€0.73"
8,1,Aurora - Regal Princess,001,140,Sapphire,Uncommon,"€0.07","€0.43"
7,1,Belle - Inventive Engineer,001,141,Sapphire,Uncommon,"€0.09","€0.53"
3,0,Belle - Strange but Special,001,142,Sapphire,Legendary,"€23.51","€42.73"
7,1,Chief Tui - Respected Leader,001,143,Sapphire,Uncommon,"€0.09","€0.64"
8,1,Donald Duck - Strutting His Stuff,001,144,Sapphire,Common,"€0.07","€0.17"
12,1,Flounder - Voice of Reason,001,145,Sapphire,Common,"€0.05","€0.17"
9,0,Gramma Tala - Storyteller,001,146,Sapphire,Uncommon,"€0.09","€1.64"
0,0,Hades - Infernal Schemer,001,147,Sapphire,Legendary,"€17.47","€46.19"
9,0,Jasmine - Disguised,001,148,Sapphire,Common,"€0.05","€0.17"
4,0,Jasmine - Queen of Agrabah,001,149,Sapphire,Rare,"€0.64","€1.57"
9,0,Maleficent - Sinister Visitor,001,150,Sapphire,Common,"€0.05","€0.17"
7,0,Maleficent - Uninvited,001,151,Sapphire,Rare,"€0.24","€1.32"
4,2,Maurice - World-Famous Inventor,001,152,Sapphire,Rare,"€0.53","€2.12"
9,0,Merlin - Self-Appointed Mentor,001,153,Sapphire,Common,"€0.09","€0.26"
9,0,Mickey Mouse - Detective,001,154,Sapphire,Common,"€0.09","€0.55"
10,0,Mufasa - King of the Pride Lands,001,155,Sapphire,Common,"€0.07","€0.29"
8,1,Philoctetes - Trainer of Heroes,001,156,Sapphire,Common,"€0.07","€0.22"
3,0,Robin Hood - Unrivaled Archer,001,157,Sapphire,Super Rare,"€0.58","€2.32"
6,0,Scar - Mastermind,001,158,Sapphire,Rare,"€0.17","€1.55"
7,0,Tamatoa - So Shiny!,001,159,Sapphire,Super Rare,"€1.62","€3.11"
9,0,Triton - The Sea King,001,160,Sapphire,Uncommon,"€0.09","€0.25"
9,0,Develop Your Brain,001,161,Sapphire,Common,"€0.07","€0.21"
4,0,If it's Not Baroque,001,162,Sapphire,Rare,"€0.27","€0.83"
5,1,Let It Go,001,163,Sapphire,Rare,"€2.54","€5.14"
7,1,One Jump Ahead,001,164,Sapphire,Uncommon,"€0.07","€0.97"
8,0,Work Together,001,165,Sapphire,Common,"€0.07","€0.17"
9,2,Coconut Basket,001,166,Sapphire,Uncommon,"€0.07","€0.32"
6,2,Eye of the Fates,001,167,Sapphire,Uncommon,"€0.10","€1.01"
6,1,Fishbone Quill,001,168,Sapphire,Rare,"€2.33","€4.09"
9,1,Magic Golden Flower,001,169,Sapphire,Common,"€0.07","€0.17"
8,0,Scepter of Arendelle,001,170,Sapphire,Uncommon,"€0.09","€0.47"
9,1,Aladdin - Cornered Swordsman,001,171,Steel,Common,"€0.07","€0.17"
8,0,Beast - Hardheaded,001,172,Steel,Uncommon,"€0.09","€0.42"
5,1,Captain Hook - Captain of the Jolly Roger,001,173,Steel,Rare,"€0.21","€1.76"
8,2,Captain Hook - Forceful Duelist,001,174,Steel,Common,"€0.05","€0.58"
4,0,Captain Hook - Thinking a Happy Thought,001,175,Steel,Rare,"€0.27","€2.32"
9,0,Cerberus - Three-Headed Dog,001,176,Steel,Common,"€0.09","€0.17"
6,1,Donald Duck - Musketeer,001,177,Steel,Uncommon,"€0.12","€0.58"
3,0,Gantu - Galactic Federation Captain,001,178,Steel,Legendary,"€2.40","€16.59"
8,3,Goons - Maleficent's Underlings,001,179,Steel,Common,"€0.07","€0.17"
4,1,Hans - Thirteenth in Line,001,180,Steel,Super Rare,"€0.48","€3.45"
8,1,Hercules - True Hero,001,181,Steel,Common,"€0.07","€0.17"
8,1,Kristoff - Official Ice Master,001,182,Steel,Common,"€0.05","€0.17"
9,0,Kronk - Right-Hand Man,001,183,Steel,Uncommon,"€0.09","€0.27"
10,0,Lilo - Galactic Hero,001,184,Steel,Uncommon,"€0.05","€0.59"
5,0,Maui - Demigod,001,185,Steel,Rare,"€0.17","€1.08"
5,0,Mickey Mouse - Musketeer,001,186,Steel,Rare,"€0.20","€3.13"
9,0,Prince Eric - Dashing and Brave,001,187,Steel,Common,"€0.07","€0.22"
6,2,Simba - Future King,001,188,Steel,Common,"€0.09","€0.25"
4,1,Simba - Returned King,001,189,Steel,Rare,"€0.17","€0.56"
7,1,Simba - Rightful Heir,001,190,Steel,Uncommon,"€0.05","€0.51"
7,0,Starkey - Hook's Henchman,001,191,Steel,Uncommon,"€0.09","€0.42"
4,0,Te Kā - Heartless,001,192,Steel,Legendary,"€3.10","€17.94"
4,0,Tinker Bell - Giant Fairy,001,193,Steel,Super Rare,"€9.77","€16.30"
9,0,Tinker Bell - Tiny Tactician,001,194,Steel,Common,"€0.13","€0.67"
6,1,A Whole New World,001,195,Steel,Super Rare,"€10.02","€14.17"
8,2,Break,001,196,Steel,Common,"€0.07","€0.19"
10,0,Fire the Cannons!,001,197,Steel,Common,"€0.05","€0.25"
6,0,Grab Your Sword,001,198,Steel,Rare,"€2.83","€6.19"
8,1,Ransack,001,199,Steel,Uncommon,"€0.05","€0.29"
6,1,Smash,001,200,Steel,Uncommon,"€0.17","€0.88"
8,2,Beast's Mirror,001,201,Steel,Common,"€0.07","€0.26"
8,0,Frying Pan,001,202,Steel,Uncommon,"€0.05","€0.48"
4,1,Musketeer Tabard,001,203,Steel,Rare,"€0.23","€1.20"
4,0,Plasma Blaster,001,204,Steel,Rare,"€0.22","€1.35"
5,0,Bashful - Hopeless Romantic,002,1,Amber,Uncommon,"€0.07","€0.49"
5,0,Christopher Robin - Adventurer,002,2,Amber,Rare,"€0.10","€1.09"
3,0,Cinderella - Ballroom Sensation,002,3,Amber,Rare,"€2.25","€7.12"
1,0,Cobra Bubbles - Just a Social Worker,002,4,Amber,Rare,"€0.17","€0.58"
9,0,Doc - Leader of the Seven Dwarfs,002,5,Amber,Uncommon,"€0.09","€1.21"
6,0,Dopey - Always Playful,002,6,Amber,Uncommon,"€0.07","€0.46"
7,0,Eudora - Accomplished Seamstress,002,7,Amber,Common,"€0.05","€0.10"
8,0,Gaston - Baritone Bully,002,8,Amber,Uncommon,"€0.05","€0.33"
4,1,Grand Duke - Advisor to the King,002,9,Amber,Rare,"€0.09","€0.79"
11,0,Grumpy - Bad-Tempered,002,10,Amber,Common,"€0.07","€0.13"
9,1,Happy - Good-Natured,002,11,Amber,Common,"€0.05","€0.09"
4,0,King Louie - Jungle VIP,002,12,Amber,Super Rare,"€0.13","€0.90"
3,1,Mickey Mouse - Friendly Face,002,13,Amber,Super Rare,"€0.13","€1.20"
2,0,Mufasa - Betrayed Leader,002,14,Amber,Legendary,"€14.28","€22.32"
7,1,Mulan - Free Spirit,002,15,Amber,Common,"€0.07","€0.18"
3,1,Mulan - Reflecting,002,16,Amber,Rare,"€0.13","€0.79"
7,1,Nana - Darling Family Pet,002,17,Amber,Uncommon,"€0.05","€0.13"
10,1,Piglet - Very Small Animal,002,18,Amber,Common,"€0.07","€0.09"
5,0,Rapunzel - Gifted Artist,002,19,Amber,Uncommon,"€0.09","€0.69"
8,1,Rapunzel - Sunshine,002,20,Amber,Common,"€0.05","€0.20"
9,0,Sleepy - Nodding Off,002,21,Amber,Common,"€0.05","€0.10"
11,0,Sneezy - Very Allergic,002,22,Amber,Common,"€0.07","€0.17"
8,0,Snow White - Lost in the Forest,002,23,Amber,Common,"€0.05","€0.09"
4,0,Snow White - Unexpected Houseguest,002,24,Amber,Uncommon,"€0.05","€0.30"
3,0,Snow White - Well Wisher,002,25,Amber,Legendary,"€6.18","€14.54"
3,1,The Queen - Commanding Presence,002,26,Amber,Super Rare,"€0.85","€1.61"
12,1,The Queen - Regal Monarch,002,27,Amber,Common,"€0.05","€0.09"
8,1,Hold Still,002,28,Amber,Common,"€0.05","€0.09"
4,1,Last Stand,002,29,Amber,Uncommon,"€0.05","€0.18"
8,0,Painting the Roses Red,002,30,Amber,Common,"€0.05","€0.10"
2,0,World's Greatest Criminal Mind,002,31,Amber,Rare,"€0.30","€1.54"
6,0,Zero to Hero,002,32,Amber,Uncommon,"€0.05","€0.37"
2,0,Dragon Gem,002,33,Amber,Rare,"€0.09","€0.86"
3,0,Sleepy's Flute,002,34,Amber,Rare,"€0.38","€1.49"
1,1,Arthur - Wizard's Apprentice,002,35,Amethyst,Super Rare,"€2.55","€4.66"
4,1,Blue Fairy - Rewarding Good Deeds,002,36,Amethyst,Uncommon,"€0.09","€0.23"
12,1,Chip the Teacup - Gentle Soul,002,37,Amethyst,Common,"€0.05","€0.17"
10,0,Dr. Facilier - Savvy Opportunist,002,38,Amethyst,Common,"€0.07","€0.09"
8,1,Elsa - Gloves Off,002,39,Amethyst,Common,"€0.07","€0.10"
5,0,Fairy Godmother - Here to Help,002,40,Amethyst,Uncommon,"€0.07","€0.17"
2,0,Fairy Godmother - Mystic Armorer,002,41,Amethyst,Legendary,"€4.72","€14.51"
6,2,Fairy Godmother - Pure Heart,002,42,Amethyst,Common,"€0.05","€0.17"
7,0,HeiHei - Persistent Presence,002,43,Amethyst,Uncommon,"€0.05","€0.45"
8,1,Jiminy Cricket - Pinocchio's Conscience,002,44,Amethyst,Common,"€0.07","€0.11"
12,1,Kuzco - Wanted Llama,002,45,Amethyst,Common,"€0.07","€0.25"
3,1,Madam Mim - Fox,002,46,Amethyst,Rare,"€3.53","€5.60"
0,0,Madam Mim - Purple Dragon,002,47,Amethyst,Legendary,"€5.13","€13.17"
3,1,Madam Mim - Rival of Merlin,002,48,Amethyst,Rare,"€0.19","€0.58"
8,0,Madam Mim - Snake,002,49,Amethyst,Uncommon,"€0.07","€1.08"
7,0,Merlin - Crab,002,50,Amethyst,Common,"€0.05","€0.13"
8,0,Merlin - Goat,002,51,Amethyst,Uncommon,"€0.11","€1.02"
5,0,Merlin - Rabbit,002,52,Amethyst,Rare,"€1.61","€1.47"
3,2,Merlin - Shapeshifter,002,53,Amethyst,Rare,"€0.11","€0.13"
13,0,Merlin - Squirrel,002,54,Amethyst,Common,"€0.07","€0.13"
6,1,Peter Pan's Shadow - Not Sewn On,002,55,Amethyst,Super Rare,"€0.24","€1.33"
3,1,Pinocchio - Star Attraction,002,56,Amethyst,Rare,"€1.35","€3.53"
3,1,Pinocchio - On the Run,002,57,Amethyst,Uncommon,"€0.05","€0.49"
7,0,Pinocchio - Talkative Puppet,002,58,Amethyst,Uncommon,"€0.09","€0.18"
7,0,Winnie the Pooh - Hunny Wizard,002,59,Amethyst,Common,"€0.07","€0.17"
3,1,Yzma - Scary Beyond All Reason,002,60,Amethyst,Super Rare,"€1.03","€3.42"
4,0,Yzma - Without Beauty Sleep,002,61,Amethyst,Uncommon,"€0.07","€0.18"
0,0,Gruesome and Grim,002,62,Amethyst,Rare,"€0.17","€0.90"
8,0,I'm Stuck!,002,63,Amethyst,Common,"€0.07","€0.17"
5,0,Legend of the Sword in the Stone,002,64,Amethyst,Common,"€0.07","€0.09"
6,1,Binding Contract,002,65,Amethyst,Uncommon,"€0.05","€0.13"
7,0,Croquet Mallet,002,66,Amethyst,Common,"€0.05","€0.09"
0,1,Perplexing Signposts,002,67,Amethyst,Rare,"€0.09","€0.65"
2,0,The Sorcerer's Spellbook,002,68,Amethyst,Rare,"€0.26","€2.52"
7,0,Arthur - Trained Swordsman,002,69,Emerald,Common,"€0.07","€0.07"
3,0,Beast - Relentless,002,70,Emerald,Legendary,"€20.53","€30.17"
4,1,Belle - Bookworm,002,71,Emerald,Uncommon,"€0.05","€0.34"
0,0,Belle - Hidden Archer,002,72,Emerald,Legendary,"€7.22","€24.54"
5,0,Bucky - Squirrel Squeak Tutor,002,73,Emerald,Uncommon,"€0.09","€0.47"
4,1,Cheshire Cat - Always Grinning,002,74,Emerald,Uncommon,"€0.05","€0.11"
2,0,Cheshire Cat - From the Shadows,002,75,Emerald,Super Rare,"€0.42","€2.47"
6,0,Daisy Duck - Secret Agent,002,76,Emerald,Uncommon,"€0.09","€0.35"
4,0,Donald Duck - Perfect Gentleman,002,77,Emerald,Uncommon,"€0.09","€0.33"
8,0,Donald Duck - Sleepwalker,002,78,Emerald,Common,"€0.05","€0.12"
2,1,Dr. Facilier - Fortune Teller,002,79,Emerald,Super Rare,"€0.13","€0.97"
6,1,Enchantress - Unexpected Judge,002,80,Emerald,Common,"€0.05","€0.09"
9,0,Flynn Rider - Confident Vagabond,002,81,Emerald,Common,"€0.07","€0.15"
1,1,Flynn Rider - His Own Biggest Fan,002,82,Emerald,Rare,"€0.56","€2.23"
6,2,Gaston - Scheming Suitor,002,83,Emerald,Common,"€0.07","€0.17"
3,0,Little John - Loyal Friend,002,84,Emerald,Rare,"€0.12","€0.58"
1,0,Lucifer - Cunning Cat,002,85,Emerald,Rare,"€0.30","€1.63"
4,2,Pain - Underworld Imp,002,86,Emerald,Uncommon,"€0.05","€0.20"
8,0,Panic - Underworld Imp,002,87,Emerald,Common,"€0.05","€0.09"
3,0,Pete - Bad Guy,002,88,Emerald,Rare,"€0.17","€1.03"
4,1,Prince John - Greediest of All,002,89,Emerald,Rare,"€1.72","€5.90"
6,0,Queen of Hearts - Quick-Tempered,002,90,Emerald,Common,"€0.07","€0.13"
6,1,Ratigan - Criminal Mastermind,002,91,Emerald,Common,"€0.07","€0.13"
7,0,Ray - Easygoing Firefly,002,92,Emerald,Common,"€0.07","€0.17"
0,0,The Queen - Disguised Peddler,002,93,Emerald,Super Rare,"€0.18","€0.77"
6,1,Tiana - True Princess,002,94,Emerald,Uncommon,"€0.07","€0.34"
8,0,Virana - Fang Chief,002,95,Emerald,Common,"€0.07","€0.09"
2,3,Bibbidi Bobbidi Boo,002,96,Emerald,Rare,"€0.40","€3.05"
4,0,Bounce,002,97,Emerald,Uncommon,"€0.05","€0.17"
11,1,Hypnotize,002,98,Emerald,Common,"€0.07","€0.17"
13,1,Improvise,002,99,Emerald,Common,"€0.07","€0.17"
2,0,Pack Tactics,002,100,Emerald,Rare,"€0.13","€0.85"
8,1,Ring the Bell,002,101,Emerald,Uncommon,"€0.09","€0.17"
4,0,Ratigan's Marvelous Trap,002,102,Emerald,Rare,"€0.11","€0.42"
7,1,Baloo - Fun-Loving Bear,002,103,Ruby,Common,"€0.07","€0.11"
7,0,Boun - Precocious Entrepreneur,002,104,Ruby,Common,"€0.07","€0.09"
6,1,Card Soldiers - Full Deck,002,105,Ruby,Uncommon,"€0.05","€0.17"
2,0,Donald Duck - Not Again!,002,106,Ruby,Legendary,"€3.98","€12.12"
8,0,Felicia - Always Hungry,002,107,Ruby,Common,"€0.07","€0.17"
6,0,Fidget - Ratigan's Henchman,002,108,Ruby,Common,"€0.07","€0.09"
3,0,Honest John - Not That Honest,002,109,Ruby,Rare,"€0.10","€0.19"
3,0,Lady Tremaine - Imperious Queen,002,110,Ruby,Super Rare,"€2.32","€6.20"
8,1,Lady Tremaine - Overbearing Matriarch,002,111,Ruby,Common,"€0.05","€0.11"
3,0,Lumiere - Hotheaded Candelabra,002,112,Ruby,Rare,"€0.09","€0.51"
4,0,Minnie Mouse - Stylish Surfer,002,113,Ruby,Uncommon,"€0.27","€0.74"
3,0,Minnie Mouse - Wide-Eyed Diver,002,114,Ruby,Rare,"€0.12","€0.85"
10,0,Minnie Mouse - Zipping Around,002,115,Ruby,Common,"€0.05","€0.13"
6,0,Mother Gothel - Withered and Wicked,002,116,Ruby,Uncommon,"€0.09","€0.13"
9,1,Mulan - Soldier in Training,002,117,Ruby,Common,"€0.07","€0.11"
3,0,Namaari - Nemesis,002,118,Ruby,Super Rare,"€0.13","€1.04"
5,1,Queen of Hearts - Impulsive Ruler,002,119,Ruby,Uncommon,"€0.08","€0.39"
5,1,Queen of Hearts - Sensing Weakness,002,120,Ruby,Uncommon,"€0.05","€0.22"
3,0,Ratigan - Very Large Mouse,002,121,Ruby,Rare,"€0.18","€0.89"
6,0,Raya - Headstrong,002,122,Ruby,Common,"€0.07","€0.09"
5,0,Raya - Leader of Heart,002,123,Ruby,Super Rare,"€0.13","€0.83"
4,0,Raya - Warrior of Kumandra,002,124,Ruby,Uncommon,"€0.05","€0.17"
